注文日,ショップ名,合計金額,配達方法
2021年4月12日,CLOTHY（クロシィ）,799円,追跡可能メール便
2021年4月9日,たんばや　釧路空港店,"2,350円",クール便
2021年4月5日,サプリ専門店 オーガランド,0円,追跡可能メール便
2021年4月5日,サプリ専門SHOP シードコムス,0円,追跡可能メール便
2021年3月18日,Yang gen,"2,218円",宅配便
2021年3月16日,サプリ専門店 オーガランド,"1,980円",追跡可能メール便
2021年3月16日,CLOTHY（クロシィ）,"3,995円",宅配便
2021年3月16日,Jコスメ楽天市場店,"3,980円",追跡可能メール便
2021年3月16日,Grandeir楽天市場店,"1,580円",追跡可能メール便
2021年3月13日,メガヘルスマート,627円,追跡可能メール便
2021年3月11日,伝説City,0円,宅配便
2021年3月7日,CLOTHY（クロシィ）,"1,549円",追跡可能メール便
2021年2月17日,LIMITED 2ND,"3,200円",メール便
2021年2月16日,モアコスメ,759円,追跡可能メール便
2021年2月16日,キョーワ薬局　楽天市場店,"11,550円",追跡可能メール便
2021年2月16日,TENKA テンカ パワーストーン,"5,353円",宅配便
2021年2月16日,リラの女王様,"2,464円",宅配便
2021年1月31日,南の花,"4,673円",宅配便
2021年1月16日,LEG ONE（レッグワン）,"1,198円",追跡可能メール便
2021年1月16日,si-ta楽天市場店,748円,追跡可能メール便
2021年1月16日,男性スキンケア クワトロボタニコ,"2,970円",宅配便
2021年1月16日,てんまん 楽天市場店,"2,750円",宅配便
2021年1月15日,ドラッグピュア楽天市場店,279円,メール便
2021年1月7日,19inch ハンカチとタオルの専門店,184円,メール便
2020年12月26日,美と健康の小話,"3,370円",追跡可能メール便
2020年12月19日,アミアミ AmiAmi,"5,830円",宅配便
2020年12月19日,ホームセンターブリコ,680円,追跡可能メール便
2020年12月19日,オシャレウォーカー　osharewalker,"4,650円",宅配便
2020年12月19日,輸入品屋さん,"1,210円",追跡可能メール便
2020年12月19日,PLAY-ZONE 楽天市場店,"1,580円",追跡可能メール便
2020年12月19日,シェーンコスメ,"1,680円",メール便
2020年12月5日,靴下のHARUSAKU,"1,710円",追跡可能メール便
2020年11月17日,カンパネルラ,"11,390円",メール便
2020年11月17日,holyholy,"7,308円",宅配便
2020年11月16日,手帳のタイムキーパー,452円,メール便
2020年11月16日,19inch ハンカチとタオルの専門店,795円,追跡可能メール便
2020年11月9日,CLOTHY（クロシィ）,"3,222円",宅配便
2020年11月8日,【公式】Koloha楽天市場店,"1,646円",追跡可能メール便
2020年11月3日,メガヘルスマート,"1,454円",追跡可能メール便
2020年10月26日,市民薬局　楽天市場店,"3,579円",追跡可能メール便
2020年10月18日,ZNEWMARK（ジニューマーク）,"1,870円",宅配便
